Indicator Name,Indicator Code,Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Population, male",SP.POP.TOTL.MA.IN,Nigeria,NGA,60151488,61748370,63420738,65158785,66946860,68785095,70670683,72611203,74620905,76699005,78846020,81066457,83364643,85713800,88080932,90449577,92803434,95191980,97662955,100165119,102680839,105243174,107827012,110448136,113132890
"Population, male",SP.POP.TOTL.MA.IN,Nicaragua,NIC,2493059,2528472,2561907,2593630,2624209,2654303,2687501,2724497,2762742,2802298,2843140,2885079,2927885,2971314,3015111,3059189,3103613,3148451,3193665,3239062,3284332,3329347,3375630,3423787,3471990
"Population, male",SP.POP.TOTL.MA.IN,Netherlands,NLD,7819972,7877546,7938421,7990446,8029094,8057280,8076039,8089121,8106729,8138778,8181658,8224707,8265148,8298490,8325795,8358842,8399441,8447999,8502002,8555582,8615129,8665375,8712076,8797815,8889938
"Population, male",SP.POP.TOTL.MA.IN,Norway,NOR,2208359,2224232,2236622,2249024,2262587,2276562,2293018,2313871,2342728,2377357,2410883,2443786,2479849,2517376,2551391,2583030,2611322,2636304,2658756,2676735,2695841,2712935,2728232,2753603,2785769
"Population, male",SP.POP.TOTL.MA.IN,Nepal,NPL,12206968,12397651,12576001,12738215,12880352,13002461,13098713,13165531,13208569,13236099,13250671,13260079,13250056,13212056,13164892,13138985,13162846,13259469,13405797,13554172,13704208,13980445,14370965,14646246,14812363
"Population, male",SP.POP.TOTL.MA.IN,Nauru,NRU,5353,5354,5349,5340,5329,5316,5298,5272,5247,5228,5217,5221,5247,5333,5457,5580,5706,5832,5953,6074,6177,6266,6361,6435,6487
"Population, male",SP.POP.TOTL.MA.IN,New Zealand,NZL,1884922,1893809,1903542,1936564,1975073,2003827,2025120,2048505,2066607,2083721,2104531,2127776,2143639,2155304,2173160,2212236,2260747,2315033,2366653,2414161,2461701,2522257,2533227,2536570,2589442
"Population, male",SP.POP.TOTL.MA.IN,Oman,OMN,1330762,1343767,1356102,1367695,1379044,1401157,1433559,1465443,1497064,1528791,1561101,1708903,1973564,2240160,2459562,2591374,2714401,2866336,2960916,2971367,2924701,2820785,2761768,2785494,2818990
"Population, male",SP.POP.TOTL.MA.IN,Pakistan,PAK,77366201,79746052,82212668,84278393,86127265,88049526,89942008,91810143,93744001,95745628,97833204,99987484,102047023,103831984,105378643,106815000,107983708,108894512,110003086,111438323,113015042,114815641,116815852,118960880,121256617
"Population, male",SP.POP.TOTL.MA.IN,Panama,PAN,1478953,1508117,1537633,1567505,1597706,1628444,1659586,1690750,1722008,1753495,1785120,1816819,1848911,1881611,1914627,1947968,1981879,2016278,2050907,2085213,2118501,2148870,2176523,2204410,2233572
"Population, male",SP.POP.TOTL.MA.IN,Peru,PER,13088603,13290367,13472595,13635757,13784608,13925077,14057586,14180761,14296701,14388026,14461087,14545483,14647747,14765435,14894870,15041702,15215665,15428091,15666065,15961942,16268182,16499432,16695110,16857086,17005118
"Population, male",SP.POP.TOTL.MA.IN,Philippines,PHL,38524491,39394372,40249236,41101162,41950313,42802430,43650124,44491550,45333001,46168861,46992939,47832279,48706658,49587787,50455169,51299898,52189304,53151806,54121554,55072020,56011134,56947945,57817463,58679278,59593853
"Population, male",SP.POP.TOTL.MA.IN,Palau,PLW,10559,10767,10804,10784,10767,10744,10666,10523,10358,10190,10013,9830,9637,9450,9389,9443,9454,9431,9409,9389,9379,9377,9380,9376,9359
"Population, male",SP.POP.TOTL.MA.IN,Papua New Guinea,PNG,2782545,2876874,2974119,3074522,3177073,3281496,3387691,3495994,3606247,3718410,3832285,3947886,4062416,4174386,4285535,4396106,4505977,4614885,4722981,4830369,4936763,5039466,5137884,5232314,5323347
"Population, male",SP.POP.TOTL.MA.IN,Poland,POL,18757096,18574609,18585200,18570141,18551268,18533816,18518319,18497199,18476559,18471142,18479746,18424911,18432087,18428967,18415399,18399901,18385857,18375539,18376132,18375538,18370296,18334153,18253255,17826176,17776393
"Population, male",SP.POP.TOTL.MA.IN,Puerto Rico,PRI,1830326,1834657,1837888,1839516,1839889,1839437,1835889,1827182,1815530,1803873,1792996,1782757,1760954,1738428,1717183,1687782,1656529,1622693,1581656,1516369,1513740,1552570,1541133,1518906,1510228
"Population, male",SP.POP.TOTL.MA.IN,"Korea, Dem. People's Rep.",PRK,11291886,11378028,11455522,11523015,11598071,11684142,11762651,11832469,11895221,11953972,12013177,12070099,12125094,12184978,12251346,12324169,12402803,12482556,12559931,12634957,12707874,12778255,12844385,12905119,12960706
"Population, male",SP.POP.TOTL.MA.IN,Portugal,PRT,4924970,4962453,4999948,5024837,5038307,5046015,5051464,5056828,5062560,5063844,5061271,5056705,5041558,5012623,4976418,4940387,4912125,4891543,4874665,4859701,4855992,4859349,4888573,4911677,4967858
"Population, male",SP.POP.TOTL.MA.IN,Paraguay,PRY,2540168,2589005,2632691,2669782,2702423,2733019,2762367,2790367,2817256,2843994,2872003,2904393,2941517,2980731,3021458,3063559,3106699,3150499,3194330,3237726,3280434,3323985,3365265,3402132,3441402
"Population, male",SP.POP.TOTL.MA.IN,West Bank and Gaza,PSE,1435119,1471744,1508534,1545319,1582770,1621224,1661149,1702599,1745418,1793167,1840812,1888398,1935884,1983444,2030950,2078224,2125660,2173706,2217868,2275925,2334948,2394860,2455361,2516444,2578229
"Population, male",SP.POP.TOTL.MA.IN,French Polynesia,PYF,127680,129619,131568,133515,135482,137450,139403,141296,142844,143906,144639,145253,145852,146369,146929,147681,148478,149191,150002,150960,151899,152872,153778,154794,156041
"Population, male",SP.POP.TOTL.MA.IN,Qatar,QAT,410964,433815,456796,480524,504789,522707,579378,727596,921361,1103898,1233563,1297966,1350880,1415197,1507300,1651832,1817181,1955530,2031540,2054595,2055936,2005391,1953675,1954233,1964435
"Population, male",SP.POP.TOTL.MA.IN,Romania,ROU,10895720,10871696,10711158,10511655,10437405,10381596,10321646,10264061,10115633,9948846,9864987,9804746,9755829,9712178,9675668,9639244,9594901,9541664,9486693,9429212,9377040,9320317,9245140,9213326,9222390
"Population, male",SP.POP.TOTL.MA.IN,Russian Federation,RUS,68794406,68464819,68107925,67715029,67309072,66921101,66542026,66219710,66050853,65997139,66009600,66053102,66163798,66374401,66619520,66859340,67075649,67276553,67434483,67511805,67562876,67470284,67227319,66987198,66800500
"Population, male",SP.POP.TOTL.MA.IN,Rwanda,RWA,3865213,3904282,3949825,4014653,4110419,4224817,4344019,4467349,4594932,4725056,4856381,4989230,5123057,5255735,5388720,5524552,5663777,5809454,5960539,6112819,6266092,6423145,6582239,6741039,6901261
"Population, male",SP.POP.TOTL.MA.IN,Saudi Arabia,SAU,12011628,12317247,12623833,12928084,13221628,13489705,13900240,14481085,15083370,15700185,16324114,16865108,17276508,17644476,18009033,18364145,18774108,19291301,19828621,20335495,20836089,20886852,20766246,20979233,21246137
"Population, male",SP.POP.TOTL.MA.IN,Sudan,SDN,12905335,13231789,13550233,13855688,14157975,14469105,14811660,15199862,15624739,16057614,16495485,16888820,17226354,17593602,18005088,18506560,19086685,19686813,20335703,20993202,21607642,22209433,22814719,23420005,24034469
"Population, male",SP.POP.TOTL.MA.IN,Senegal,SEN,4678701,4786669,4899113,5016669,5139658,5267939,5401974,5542900,5689190,5839565,5996251,6159215,6327295,6500266,6676682,6859154,7048291,7242618,7443229,7649754,7860618,8076926,8297057,8516043,8737489
"Population, male",SP.POP.TOTL.MA.IN,Singapore,SGP,2021236,2058118,2110833,2123960,2086728,2106721,2156125,2235301,2346238,2489956,2580983,2638441,2699466,2769034,2816675,2855844,2891691,2930247,2933188,2947272,2981453,2972860,2852509,2947974,3092505
"Population, male",SP.POP.TOTL.MA.IN,Solomon Islands,SLB,216738,222168,227319,232444,237617,242852,248157,253589,259158,264829,270736,277024,283714,290777,298140,305726,313454,321267,329135,337049,345031,353241,361683,369899,377872
"Population, male",SP.POP.TOTL.MA.IN,Sierra Leone,SLE,2222342,2275881,2412807,2554938,2661461,2754047,2830690,2895765,2962281,3039735,3125747,3215628,3304869,3394323,3483704,3572787,3660930,3751483,3844264,3936943,4030454,4124768,4218841,4312192,4405685
"Population, male",SP.POP.TOTL.MA.IN,El Salvador,SLV,2855297,2869807,2881789,2890463,2895077,2896010,2893341,2887716,2890138,2901244,2911996,2922675,2933557,2944707,2955948,2966755,2976076,2983896,2989691,2992279,2992539,2997430,3006692,3016535,3029841
"Population, male",SP.POP.TOTL.MA.IN,San Marino,SMR,12896,13120,13378,13687,13998,14246,14460,14694,14899,15052,15222,15470,15831,16096,16186,16241,16328,16453,16564,16626,16650,16563,16419,16380,16381
"Population, male",SP.POP.TOTL.MA.IN,Somalia,SOM,4188542,4358791,4535229,4707222,4882566,5063740,5240348,5400747,5568675,5733318,5877311,6026604,6122342,6234944,6441979,6671284,6899404,7164565,7450912,7725140,8011375,8290471,8555628,8822442,9096520
"Population, male",SP.POP.TOTL.MA.IN,Serbia,SRB,3642672,3628454,3620295,3615272,3606727,3597966,3586247,3570629,3554182,3537191,3521164,3505105,3475850,3457540,3439310,3421938,3404097,3385520,3367107,3348634,3330387,3307322,3275476,3194331,3172990
"Population, male",SP.POP.TOTL.MA.IN,South Sudan,SSD,2832469,2965961,3107655,3255319,3410677,3575657,3751112,3937316,4134132,4339678,4544755,4789793,5056279,5287401,5491442,5545556,5536196,5472936,5269584,5139223,5167140,5248072,5320584,5404538,5493900
"Population, male",SP.POP.TOTL.MA.IN,Sao Tome and Principe,STP,70648,71620,72901,74706,76681,78656,80650,82666,84721,86800,88860,90858,92829,94793,96719,98594,100410,102168,103865,105507,107123,109112,111305,113407,115601
"Population, male",SP.POP.TOTL.MA.IN,Suriname,SUR,236184,240845,245436,249959,254376,257822,260410,263086,265833,268623,271450,274293,277111,279884,282602,285276,287993,290757,293536,296341,299437,302656,305387,307625,309907
"Population, male",SP.POP.TOTL.MA.IN,Slovak Republic,SVK,2623049,2618082,2612748,2611957,2610358,2610221,2611029,2611614,2612857,2615583,2619923,2623393,2627802,2633443,2637146,2640390,2643961,2648698,2653970,2658718,2663171,2665719,2659702,2654098,2653203
"Population, male",SP.POP.TOTL.MA.IN,Slovenia,SVN,963947,967614,969849,972033,974024,976153,979493,984336,991510,994773,1005679,1012012,1015297,1017964,1019840,1021337,1023640,1026841,1029929,1036095,1045795,1055356,1059477,1061664,1066611
"Population, male",SP.POP.TOTL.MA.IN,Sweden,SWE,4377968,4386578,4400543,4417564,4436701,4456884,4477573,4505908,4543220,4582936,4626413,4670485,4710512,4750463,4796177,4849287,4906255,4973853,5046973,5111494,5168880,5211232,5246680,5285164,5311829
"Population, male",SP.POP.TOTL.MA.IN,Eswatini,SWZ,490870,496570,501668,505974,509632,512898,515804,518532,521420,525058,529313,533566,537868,542408,547273,552371,557649,563119,568650,574204,579801,585916,591831,596167,600049
"Population, male",SP.POP.TOTL.MA.IN,Sint Maarten (Dutch part),SXM,15219,14902,14909,14963,15263,15712,15914,16068,16192,16206,16274,16127,15805,17203,19052,19734,20431,20615,20423,20610,21078,21533,21788,21889,22005
"Population, male",SP.POP.TOTL.MA.IN,Seychelles,SYC,40348,40792,40908,42238,41848,41811,42114,43110,43445,44554,44861,46283,45246,45851,46847,47687,48844,49579,50266,50828,51368,51864,52299,63113,62940
"Population, male",SP.POP.TOTL.MA.IN,Syrian Arab Republic,SYR,8048389,8251720,8461998,8680305,8904161,9141476,9393082,9818867,10455630,10842593,11020640,11277036,11474102,11405754,10836931,10109590,9663595,9533468,9532365,9697361,10073931,10407665,10681137,11078628,11625364
"Population, male",SP.POP.TOTL.MA.IN,Turks and Caicos Islands,TCA,9220,9610,10041,10559,11129,11691,12249,12812,13382,13959,14534,15098,15635,16262,17020,17718,18491,19341,20137,20953,21739,22325,22729,23006,23169
"Population, male",SP.POP.TOTL.MA.IN,Chad,TCD,3970550,4111592,4253942,4406601,4588681,4800259,4999038,5182293,5363575,5554274,5755890,5958154,6172449,6393699,6627120,6869575,7093122,7321597,7570735,7831899,8094822,8355035,8623530,8896002,9174497
"Population, male",SP.POP.TOTL.MA.IN,Togo,TGO,2424508,2495124,2564478,2633356,2703985,2777186,2851642,2934396,3022581,3111737,3201540,3289956,3380347,3471351,3563146,3656155,3750461,3846363,3943847,4042391,4142015,4243063,4345278,4448225,4551892
"Population, male",SP.POP.TOTL.MA.IN,Thailand,THA,30791112,31072431,31347349,31620770,31884756,32138214,32378837,32612264,32849413,33082657,33307128,33511372,33702397,33893784,34073118,34231954,34365474,34486044,34594141,34671370,34723388,34769467,34794010,34806096,34825715
"Population, male",SP.POP.TOTL.MA.IN,Tajikistan,TJK,3040596,3079596,3150466,3221269,3291092,3360112,3429032,3498489,3569645,3643840,3722239,3804994,3892015,3982893,4077789,4176922,4279505,4383379,4486281,4590127,4696898,4801489,4906143,5008732,5104843
"Population, male",SP.POP.TOTL.MA.IN,Turkmenistan,TKM,2215670,2249823,2282951,2315065,2345215,2375657,2408711,2442930,2478447,2516289,2557135,2601133,2648113,2697724,2749149,2801215,2853236,2904744,2955061,3003587,3050231,3096157,3141729,3185860,3228059
"Population, male",SP.POP.TOTL.MA.IN,Timor-Leste,TLS,446195,451478,458490,466681,475111,484748,496668,509709,522558,534882,546602,558338,570298,582083,593490,604629,614964,624510,634029,643523,653013,662972,673598,683957,693822
"Population, male",SP.POP.TOTL.MA.IN,Tonga,TON,51849,52142,52427,52712,53013,53323,53618,53893,54053,54069,54051,54070,54081,53922,53607,53267,52915,52614,52383,52169,51994,52093,52440,52848,53317
"Population, male",SP.POP.TOTL.MA.IN,Trinidad and Tobago,TTO,657138,659662,662692,666135,669640,673168,676790,680461,684258,687991,691855,696056,700632,705591,710542,715233,719600,723726,728044,743505,751897,749174,752789,755090,756408
"Population, male",SP.POP.TOTL.MA.IN,Tunisia,TUN,4911764,4960458,5007338,5052798,5097802,5141667,5185241,5229676,5274830,5321608,5370385,5422169,5488657,5557114,5615984,5676121,5736224,5795610,5853778,5909703,5962724,6012828,6057044,6098372,6145027
"Population, male",SP.POP.TOTL.MA.IN,Turkiye,TUR,31782313,32245997,32724349,33181031,33617545,34073271,34529813,34974838,35249438,35693313,36184302,36733465,37271275,37743582,38226425,38741044,39256041,39780643,40292386,40834436,41414465,41806571,42175029,42581376,42745739
"Population, male",SP.POP.TOTL.MA.IN,Tuvalu,TUV,4755,4769,4777,4787,4833,4914,4991,5066,5143,5227,5314,5404,5498,5595,5638,5627,5617,5609,5598,5613,5654,5702,5755,5799,5835
"Population, male",SP.POP.TOTL.MA.IN,Tanzania,TZA,16558330,17040809,17511199,17969988,18446378,18943000,19465727,20010132,20570092,21125684,21632887,22176064,22811421,23483484,24210106,24985511,25860541,26813222,27762906,28679332,29563439,30475454,31417653,32370931,33337209
"Population, male",SP.POP.TOTL.MA.IN,Uganda,UGA,11383926,11750782,12118958,12507523,12911462,13308219,13710476,14125371,14555146,14997204,15450462,15916868,16395857,16886179,17387215,17920438,18493558,19131236,19823359,20521108,21241606,21973090,22700638,23401332,24070802
"Population, male",SP.POP.TOTL.MA.IN,Ukraine,UKR,23015947,22773527,22518464,22289659,22098936,21919976,21743359,21582931,21443946,21319797,21225759,21150737,21086669,21052629,21023906,20940952,20907349,20856348,20790678,20708210,20602695,20470151,20294308,17449249,16871609
"Population, male",SP.POP.TOTL.MA.IN,Uruguay,URY,1589828,1594941,1597570,1598457,1598485,1598595,1599620,1601733,1604827,1608578,1612678,1617051,1621715,1626686,1631988,1637581,1643631,1649718,1654653,1657819,1659147,1660166,1659492,1658372,1659092
"Population, male",SP.POP.TOTL.MA.IN,United States,USA,137282400,138910694,140343133,141652391,142865707,144210567,145570277,146996229,148402076,149804127,151111335,152358841,153539494,154813215,156025758,157301571,158580581,159847727,160970309,161911851,162730147,164316147,164490184,165013345,165779952
"Population, male",SP.POP.TOTL.MA.IN,Uzbekistan,UZB,12167284,12329367,12480030,12628787,12772007,12915830,13064209,13224211,13414449,13633078,13867711,14268347,14660638,14882226,15119939,15379949,15653791,15931090,16202303,16485735,16797144,17124410,17468992,17838536,18223962
"Population, male",SP.POP.TOTL.MA.IN,St. Vincent and the Grenadines,VCT,58069,58002,57941,57862,57712,57494,57245,56962,56681,56444,56219,55967,55676,55373,55053,54773,54538,54258,54026,53856,53636,53434,53209,52928,52713
"Population, male",SP.POP.TOTL.MA.IN,"Venezuela, RB",VEN,12013718,12241951,12463799,12684667,12905924,13123521,13339531,13550091,13754221,13949599,14136940,14321888,14504605,14683454,14859050,15028756,15188587,15283987,15183770,14804135,14365872,14113760,13956811,13996791,14254932
"Population, male",SP.POP.TOTL.MA.IN,British Virgin Islands,VGB,10062,10327,10588,10851,11133,11439,11774,12133,12512,12918,13329,13556,13724,13915,14015,14145,14303,14453,14578,14681,14786,14900,14976,15062,15197
"Population, male",SP.POP.TOTL.MA.IN,Virgin Islands (U.S.),VIR,51971,51887,51805,51818,51854,51874,51898,51877,51869,51890,51855,51796,51741,51650,51529,51384,51208,50999,50759,50489,50196,49866,49510,49137,48751
"Population, male",SP.POP.TOTL.MA.IN,Viet Nam,VNM,38212637,38652066,39078656,39510889,39947965,40386478,40824111,41252012,41680018,42119105,42576401,43048310,43525217,44010133,44502820,44995810,45481510,45954943,46412679,46856269,47288433,47726158,48136186,48501287,48850248
"Population, male",SP.POP.TOTL.MA.IN,Vanuatu,VUT,95543,97832,100260,102763,105288,107823,110376,112974,115641,118398,121208,124029,126894,129845,132896,136042,139253,142613,146105,149615,153149,156782,160506,164308,168202
"Population, male",SP.POP.TOTL.MA.IN,Samoa,WSM,94879,95721,96420,96876,97154,97341,97490,97754,98209,98778,99398,100075,100844,101665,102510,103356,104201,105129,106119,107099,108147,109634,111550,113375,115059
"Population, male",SP.POP.TOTL.MA.IN,Kosovo,XKX,969222,935457,943362,945381,939201,933043,926824,920484,914088,907891,902022,896466,898208,902010,907413,904599,892179,886760,893367,896319,892156,892592,890237,881148,875360
"Population, male",SP.POP.TOTL.MA.IN,"Yemen, Rep.",YEM,9128106,9391539,9655431,9920754,10191642,10470934,10771739,11101550,11446120,11797215,12154813,12518994,12891995,13273109,13660800,14052916,14439156,14820156,15202496,15578957,15953578,16320979,16668432,17023203,17396462
"Population, male",SP.POP.TOTL.MA.IN,South Africa,ZAF,21977029,22221377,22447806,22681781,22925383,23176582,23433293,23696246,23972107,24278088,24599914,24927507,25278908,25651390,26036121,26500685,27155417,27418165,27465269,27822349,28207948,28580784,28894608,29168006,29451976
"Population, male",SP.POP.TOTL.MA.IN,Zambia,ZMB,4628537,4762771,4915581,5076940,5244889,5423615,5617219,5827393,6050324,6283615,6523386,6765898,7005106,7245485,7491633,7744381,8000338,8260471,8525934,8794716,9066397,9338613,9609004,9877642,10148862
"Population, male",SP.POP.TOTL.MA.IN,Zimbabwe,ZWE,5570832,5621605,5653006,5684128,5722449,5755027,5773926,5818877,5872489,5911975,5965793,6034165,6114111,6223803,6363142,6508226,6652836,6796658,6940631,7086002,7231989,7385220,7543690,7705601,7879254
"Population, female",SP.POP.TOTL.FE.IN,Aruba,ABW,45050,46269,47178,47831,48374,48877,49414,50016,50636,51272,51919,52484,52980,53480,53953,54403,54828,55224,55591,55935,56254,56373,56330,56272,56225
"Population, female",SP.POP.TOTL.FE.IN,Afghanistan,AFG,9595036,9727541,9793166,10438055,11247647,11690825,12109086,12614497,12835340,13088192,13557331,13949295,14468875,15067373,15594637,16172321,16682054,17115346,17614722,18136922,18679089,19279930,19844584,20362329,20920159
"Population, female",SP.POP.TOTL.FE.IN,Angola,AGO,8071413,8339311,8619083,8912191,9219638,9545020,9886765,10244381,10620174,11013001,11422969,11853530,12303450,12770743,13252938,13746371,14248799,14764575,15293335,15828040,16370553,16910989,17452283,17998220,18548657
"Population, female",SP.POP.TOTL.FE.IN,Albania,ALB,1565927,1557540,1543533,1538490,1531532,1523393,1513578,1501918,1488396,1474838,1462978,1454108,1449024,1445914,1442931,1439863,1435812,1433925,1433238,1430495,1425364,1418585,1407212,1392115,1378159
"Population, female",SP.POP.TOTL.FE.IN,Andorra,AND,31492,31812,32669,34076,35478,36852,38147,38392,37633,36864,36065,35212,34895,35127,35324,35473,35557,35913,36456,36943,37502,38084,38673,39038,39185
"Population, female",SP.POP.TOTL.FE.IN,Argentina,ARG,18580528,18790028,18996369,19201347,19398462,19591796,19791355,19992747,20190731,20387718,20588982,20633966,20865767,21099001,21332490,21562981,21791541,22019065,22244116,22467488,22689693,22911069,23130548,23345532,23555389
"Population, female",SP.POP.TOTL.FE.IN,Armenia,ARM,1689409,1672231,1656074,1644189,1636478,1629805,1623111,1615571,1607400,1599812,1593247,1587223,1581404,1576538,1572193,1568781,1565465,1561467,1556899,1551563,1545834,1540097,1534475,1530390,1528880
"Population, female",SP.POP.TOTL.FE.IN,American Samoa,ASM,28234,28572,28649,28608,28521,28392,28230,28044,27842,27626,27406,27189,26951,26678,26369,26017,25629,25208,24762,24290,23786,23268,22746,22399,22230
"Population, female",SP.POP.TOTL.FE.IN,Antigua and Barbuda,ATG,39039,39748,40383,40894,41329,41753,42209,42715,43270,43883,44522,45097,45588,46022,46401,46748,47087,47388,47658,47910,48156,48428,48709,48981,49246
"Population, female",SP.POP.TOTL.FE.IN,Australia,AUS,9473113,9585767,9711085,9821222,9933517,10038538,10158934,10292899,10475417,10678307,10894107,11064202,11220985,11420547,11623605,11807077,11988344,12185645,12392713,12581035,12766991,12921360,12934659,13096996,13409588
"Population, female",SP.POP.TOTL.FE.IN,Austria,AUT,4130055,4136746,4147958,4163296,4180186,4203243,4228220,4246451,4259257,4271832,4281722,4290783,4303100,4319072,4340305,4368440,4406154,4444108,4472047,4492714,4511982,4529542,4548093,4590312,4634336
"Population, female",SP.POP.TOTL.FE.IN,Azerbaijan,AZE,4150048,4179613,4206436,4232123,4258445,4288067,4322172,4359694,4398946,4481467,4567635,4617522,4673150,4730889,4787835,4843397,4897308,4949205,4995509,5036324,5076093,5110146,5135000,5137643,5121381
"Population, female",SP.POP.TOTL.FE.IN,Burundi,BDI,3138022,3202178,3282043,3374234,3480322,3609997,3743946,3878308,4020991,4187327,4402636,4610573,4774277,4943284,5119502,5291412,5407378,5495462,5621203,5789861,5980560,6153627,6319427,6488650,6663239
"Population, female",SP.POP.TOTL.FE.IN,Belgium,BEL,5225912,5238286,5255887,5278890,5300080,5322057,5350390,5384595,5422833,5464009,5506057,5554185,5624101,5655983,5679319,5700881,5729707,5754446,5772621,5794664,5821746,5842749,5863808,5911748,5978050
"Population, female",SP.POP.TOTL.FE.IN,Benin,BEN,3425981,3529498,3635278,3743597,3855563,3971305,4098638,4225023,4345111,4472279,4603557,4738442,4876973,5018490,5163111,5313453,5469779,5630820,5796573,5965949,6138319,6312347,6487184,6663569,6842109
"Population, female",SP.POP.TOTL.FE.IN,Burkina Faso,BFA,5860926,6031953,6210869,6396427,6589269,6790360,6999405,7215087,7433720,7655083,7882660,8117350,8361047,8615632,8875716,9140912,9412600,9688281,9965204,10241740,10520378,10804024,11089986,11374607,11662740
"Population, female",SP.POP.TOTL.FE.IN,Bangladesh,BGD,62068650,63309967,64587346,65885157,67154861,68397392,69574712,70599279,71536401,72384496,73217854,74177517,75175322,76192087,77243140,78287731,79294197,80325176,81371533,82369393,83352043,84357236,85358163,86327159,87282086
"Population, female",SP.POP.TOTL.FE.IN,Bulgaria,BGR,4252467,4233564,4151243,4062190,4029614,3998634,3967621,3936002,3904900,3874850,3847057,3819078,3792364,3768443,3745957,3723787,3699155,3672681,3645616,3618547,3592085,3570641,3542329,3329964,3311961
"Population, female",SP.POP.TOTL.FE.IN,Bahrain,BHR,284326,291872,299108,305882,316143,334293,356731,379474,402471,425579,448332,459645,458268,459516,474410,500430,520442,532635,544637,555346,560779,557039,554616,560034,566890
"Population, female",SP.POP.TOTL.FE.IN,"Bahamas, The",BHS,163570,166136,168662,171053,173516,176046,178628,181302,184090,186970,189903,192834,195497,197810,199843,201821,203844,205736,207529,209250,210821,211965,212878,214167,215761
"Population, female",SP.POP.TOTL.FE.IN,Bosnia and Herzegovina,BIH,2127624,2140676,2148452,2149630,2141631,2120890,2096405,2078331,2052735,2019566,1985936,1951825,1916984,1881866,1851910,1825837,1799407,1774917,1752004,1729892,1708207,1685553,1660775,1641713,1630487
"Population, female",SP.POP.TOTL.FE.IN,Belarus,BLR,5353387,5330773,5305393,5273950,5240024,5207144,5174635,5145919,5124332,5108481,5098294,5090285,5082430,5077517,5076616,5080019,5087057,5091613,5086699,5077117,5069468,5052036,5014609,4979107,4955200
"Population, female",SP.POP.TOTL.FE.IN,Belize,BLZ,115020,118866,122772,126827,130958,135162,139428,143749,148119,152520,156923,160877,164408,167988,171620,175274,178905,182514,186106,189707,193151,196111,198800,201525,204364
"Population, female",SP.POP.TOTL.FE.IN,Bermuda,BMU,31395,31707,32069,32287,32493,32698,32914,33115,33320,33533,33716,33451,33166,33286,33395,33469,33515,33186,32880,32943,32985,33021,33004,32950,32904
"Population, female",SP.POP.TOTL.FE.IN,Bolivia,BOL,4179935,4252810,4327765,4405377,4484341,4564350,4645403,4728586,4813399,4898788,4984968,5071897,5159435,5247336,5335470,5423617,5511477,5599297,5686999,5774185,5860919,5943886,6020925,6097747,6182488
"Population, female",SP.POP.TOTL.FE.IN,Brazil,BRA,87504861,88749390,89978663,91173105,92310671,93418462,94515633,95583318,96616434,97612571,98581682,99546667,100509285,101450818,102366379,103274465,104179515,105065188,105937948,106812144,107663080,108417015,109034931,109580471,110181331
"Population, female",SP.POP.TOTL.FE.IN,Barbados,BRB,137520,137797,138220,138845,139459,140061,140649,141234,141849,142532,143198,143669,143988,144282,144561,144824,145073,145315,145542,145752,145957,146165,146366,146550,146710
"Population, female",SP.POP.TOTL.FE.IN,Brunei Darussalam,BRN,154516,158010,161470,164895,168286,171603,174832,177979,181055,184074,187059,190046,192834,195401,197935,200411,202801,205084,207238,209257,211173,213048,214922,216797,218629
"Population, female",SP.POP.TOTL.FE.IN,Bhutan,BTN,275291,281372,287339,293189,298916,304548,309765,314269,318380,322355,326213,329998,333752,337498,341210,344791,348088,351127,354282,357467,360356,363099,365818,368525,371228
"Population, female",SP.POP.TOTL.FE.IN,Botswana,BWA,871895,889044,905932,921914,937127,952562,968750,985889,1004059,1023285,1043322,1064032,1084868,1105424,1126330,1147988,1170371,1193829,1218333,1242730,1266499,1289694,1310688,1331489,1353690
"Population, female",SP.POP.TOTL.FE.IN,Central African Republic,CAF,1816073,1868390,1912220,1956147,2004444,2048743,2095704,2138644,2179485,2225544,2274463,2322555,2358829,2379753,2394914,2394233,2405515,2448502,2495603,2545524,2603472,2670940,2728875,2790791,2872985
"Population, female",SP.POP.TOTL.FE.IN,Canada,CAN,15353410,15492171,15654811,15821528,15963194,16111457,16262602,16427049,16588278,16770088,16963269,17152771,17318359,17500563,17679048,17853585,17989314,18192885,18406833,18663335,18929706,19132565,19237693,19587848,20168593
"Population, female",SP.POP.TOTL.FE.IN,Switzerland,CHE,3653851,3673543,3696843,3723614,3749181,3772931,3794856,3816235,3845997,3888817,3933290,3971373,4012325,4051266,4093847,4140499,4184583,4225760,4261807,4292467,4322218,4352384,4384035,4417801,4452743
"Population, female",SP.POP.TOTL.FE.IN,Channel Islands,CHI,74693,74886,75196,75678,76193,76729,77271,77824,78402,78982,79568,80148,80566,80938,81480,81996,82592,83329,84025,84906,85807,86526,87239,87914,88549
"Population, female",SP.POP.TOTL.FE.IN,Chile,CHL,7634572,7724143,7812408,7899562,7984277,8065716,8146398,8227292,8308544,8392523,8479648,8566180,8651769,8736586,8821764,8911559,9004176,9111944,9254199,9420150,9589082,9720358,9818163,9874202,9887616
