Indicator Name,Indicator Code,Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Population, total",SP.POP.TOTL,China,CHN,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,16345894,16799670,17245468,17683897,18116451,18544903,18970215,19394057,19817700,20244449,20677762,21120042,21562914,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542,28873034
"Population, total",SP.POP.TOTL,Cameroon,CMR,14698973,15091594,15493253,15914033,16354326,16809407,17275171,17751333,18251866,18777081,19319274,19878036,20448873,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,27914536,28647293
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,47227238,48616317,50106657,51662071,53205639,54815607,56550247,58381630,60289422,62249724,64270232,66391257,68654269,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212,102262808
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,3016659,3134030,3254101,3331158,3424653,3543012,3672839,3813323,3956329,4089602,4257230,4437884,4584216,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424,6106869
"Population, total",SP.POP.TOTL,Colombia,COL,38585033,39215135,39837875,40454050,41057687,41648268,42220940,42772910,43306582,43815313,44313917,44816108,45308899,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024,52085168
"Population, total",SP.POP.TOTL,Comoros,COM,526443,536758,547741,559047,570130,581154,592683,604658,616899,629470,642493,656024,670071,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774,852075
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,449627,458251,465958,473231,480089,486583,492827,498884,504733,510336,515638,521212,527521,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925,593149,598682
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3901430,3979193,4053222,4122623,4188610,4252800,4315887,4378172,4440019,4501921,4563127,4622252,4679926,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829,5212173
"Population, total",SP.POP.TOTL,Cuba,CUB,11070094,11105791,11139127,11170051,11199217,11225294,11246114,11260630,11269887,11276609,11283185,11290417,11298710,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191,11194449
"Population, total",SP.POP.TOTL,Curacao,CUW,139428,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996,147862
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,38295,39658,41054,42456,43862,45286,46727,48177,49647,51123,52602,54074,55492,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706,69310
"Population, total",SP.POP.TOTL,Cyprus,CYP,931600,948237,964830,982194,1000350,1018684,1037062,1055438,1073873,1092390,1110974,1129686,1145086,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488,1260138
"Population, total",SP.POP.TOTL,Czechia,CZE,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10873689
"Population, total",SP.POP.TOTL,Germany,DEU,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,84482267
"Population, total",SP.POP.TOTL,Djibouti,DJI,719371,742033,765490,789129,806411,818373,830861,846947,865196,882886,901103,919199,936811,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849,1136455
"Population, total",SP.POP.TOTL,Dominica,DMA,68698,68346,68153,68262,68442,68574,68674,68742,68775,68782,68787,68755,68742,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737,73040
